FECHA (YYMMDD);HORA (HHMM);;
040118;0800;0,899098;
040118;0900;0,279932;
040118;1000;0,98699;
040118;1100;0,883674;
040118;1200;1,50498;
040118;1300;1,44171;
040118;1400;1,52255;
040118;1500;1,58868;
040118;1600;2,69581;
040118;1700;2,34953;
040118;1800;2,2415;
040118;1900;1,56799;
040118;2000;0,977939;
040118;2100;0,305509;
040118;2200;0,337776;
040118;2300;0,390426;
040119;0000;0,411464;
040119;0100;0,441921;
040119;0200;0,562015;
040119;0300;0,493334;
040119;0400;0,773779;
040119;0500;0,663813;
040119;0600;0,69014;
040119;0700;0,295484;
040119;0800;0,561804;
040119;0900;0,818851;
040119;1000;0,949021;
040119;1100;0,982203;
040119;1200;1,08958;
040119;1300;1,4231;
040119;1400;1,42148;
040119;1500;1,25455;
040119;1600;1,39486;
040119;1700;2,44719;
040119;1800;2,14599;
040119;1900;1,15027;
040119;2000;1,0565;
040119;2100;0,690098;
040119;2200;0,460637;
040119;2300;0,504128;
040120;0000;0,588041;
040120;0100;0,642509;
040120;0200;0,613523;
040120;0300;0,602623;
040120;0400;0,549141;
040120;0500;0,484494;
040120;0600;0,178708;
040120;0700;0,934421;
040120;0800;0,661567;
040120;0900;0,749949;
040120;1000;0,774498;
040120;1100;1,02992;
040120;1200;1,21876;
040120;1300;1,11048;
040120;1400;1,3581;
040120;1500;1,16501;
040120;1600;1,61171;
040120;1700;1,78663;
040120;1800;2,21105;
040120;1900;2,04472;
040120;2000;1,10055;
040120;2100;0,754128;
040120;2200;0,343144;
040120;2300;0,275379;
040121;0000;0,367863;
040121;0100;0,511252;
040121;0200;0,411448;
040121;0300;0,426913;
040121;0400;0,242457;
040121;0500;0,828362;
040121;0600;0,739968;
040121;0700;0,376442;
040121;0800;0,561872;
040121;0900;0,900084;
040121;1000;1,09639;
040121;1100;0,913846;
040121;1200;1,45486;
040121;1300;1,42913;
040121;1400;1,50106;
040121;1500;1,71125;
040121;1600;2,35351;
040121;1700;2,33369;
040121;1800;2,09076;
040121;1900;1,72449;
040121;2000;1,22068;
040121;2100;0,930387;
040121;2200;0,546205;
040121;2300;0,687677;
040122;0000;0,549767;
040122;0100;0,482781;
040122;0200;0,387653;
040122;0300;0,32132;
040122;0400;0,380585;
040122;0500;0,67343;
040122;0600;0,370571;
040122;0700;0,835393;
040122;0800;0,906233;
040122;0900;1,16713;
040122;1000;1,30276;
040122;1100;1,05795;
040122;1200;1,58895;
040122;1300;1,79986;
040122;1400;1,46864;
040122;1500;1,46643;
040122;1600;1,4446;
040122;1700;1,69528;
040122;1800;1,73038;
040122;1900;1,43068;
040122;2000;0,592144;
040122;2100;0,501163;
040122;2200;0,552461;
040122;2300;0,437675;
040123;0000;0,376723;
040123;0100;0,422123;
040123;0200;0,396875;
040123;0300;0,287718;
040123;0400;0,32455;
040123;0500;0,265309;
040123;0600;0,229869;
040123;0700;0,62472;
040123;0800;0,961286;
040123;0900;0,898062;
040123;1000;1,03215;
040123;1100;1,09704;
040123;1200;1,2955;
040123;1300;1,49479;
040123;1400;1,46458;
040123;1500;1,432;
040123;1600;1,39787;
040123;1700;1,58539;
040123;1800;1,52312;
040123;1900;1,33262;
040123;2000;0,817858;
040123;2100;0,399579;
040123;2200;0,291638;
040123;2300;1,05178;
040124;0000;0,308669;
040124;0100;0,881059;
