FECHA (YYMMDD);HORA (HHMM);;
040113;0100;19,0166;
040113;0200;18,55;
040113;0300;18,0583;
040113;0400;17,5583;
040113;0500;17,2166;
040113;0600;17,7416;
040113;0700;21,4666;
040113;0800;23,1833;
040113;0900;25,475;
040113;1000;27,05;
040113;1100;29,1917;
040113;1200;30,4166;
040113;1300;31,0166;
040113;1400;30,8416;
040113;1500;30,8916;
040113;1600;29,7917;
040113;1700;27,7666;
040113;1800;25,5916;
040113;1900;22,9583;
040113;2000;21,1333;
040113;2100;20,175;
040113;2200;19,4417;
040113;2300;19,05;
040114;0000;18,65;
040114;0100;18,2;
040114;0200;17,9;
040114;0300;17,4916;
040114;0400;17,0916;
040114;0500;16,9;
040114;0600;17,2083;
040114;0700;20,4417;
040114;0800;21,5;
040114;0900;23,6917;
040114;1000;25,575;
040114;1100;26,475;
040114;1200;27,2416;
040114;1300;26,925;
040114;1400;26,7166;
040114;1500;26,9167;
040114;1600;27,0583;
040114;1700;27,15;
040114;1800;26,425;
040114;1900;25,25;
040114;2000;23,5333;
040114;2100;22,4083;
040114;2200;22,225;
040114;2300;21,7166;
040115;0000;20,875;
040115;0100;20,0166;
040115;0200;19,5166;
040115;0300;18,425;
040115;0400;17,15;
040115;0500;16,9916;
040115;0600;16,3833;
040115;0700;16,6666;
040115;0800;19,0417;
040115;0900;19,7583;
040115;1000;22,425;
040115;1100;24,4916;
040115;1200;25,45;
040115;1300;26,5;
040115;1400;27,6333;
040115;1500;28,625;
040115;1600;27,7083;
040115;1700;25,3;
040115;1800;23,475;
040115;1900;21,6833;
040115;2000;19,9333;
040115;2100;19,1083;
040115;2200;18,425;
040115;2300;17,8083;
040116;0000;18,2166;
040116;0100;16,9833;
040116;0200;16,5417;
040116;0300;16,3333;
040116;0400;16,3167;
040116;0500;15,5583;
040116;0600;15,5917;
040116;0700;16,6416;
040116;0800;17,5333;
040116;0900;19,1083;
040116;1000;22,1416;
040116;1100;23,5916;
040116;1200;23,9333;
040116;1300;23,6;
040116;1400;24,1416;
040116;1500;24,55;
040116;1600;24,7083;
040116;1700;24,675;
040116;1800;23,7166;
040116;1900;22,4666;
040116;2000;21,1;
040116;2100;20,1416;
040116;2200;19,3583;
040116;2300;18,9;
040117;0000;18,325;
040117;0100;17,625;
040117;0200;16,9083;
040117;0300;16,4;
040117;0400;16,0083;
040117;0500;15,4583;
040117;0600;15,7167;
040117;0700;18,45;
040117;0800;20,3;
040117;0900;22,6166;
040117;1000;24,925;
040117;1100;27,175;
040117;1200;28,9916;
040117;1300;30,2416;
040117;1400;29,9417;
040117;1500;30,1917;
040117;1600;29,25;
040117;1700;27,8583;
040117;1800;26,6166;
040117;1900;24,475;
040117;2000;22,7583;
040117;2100;21,575;
040117;2200;20,5833;
040117;2300;19,7916;
040118;0000;18,9333;
040118;0100;18,3583;
040118;0200;17,8833;
040118;0300;17,4833;
040118;0400;16,9;
040118;0500;16,5667;
040118;0600;16,575;
040118;0700;18,1;
040118;0800;20,8;
040118;0900;23,2666;
040118;1000;26,0166;
040118;1100;28,2333;
040118;1200;29,5083;
040118;1300;30,3;
040118;1400;31,0333;
040118;1500;31,4666;
040118;1600;30,675;
040118;1700;29,8416;
040118;1800;27,9333;
040118;1900;25,8416;
040118;2000;23,525;
040118;2100;22,175;
040118;2200;21,1083;
040118;2300;20,1416;
040119;0000;19,35;
040119;0100;18,3666;
040119;0200;17,4333;
040119;0300;17,025;
040119;0400;16,45;
040119;0500;15,9417;
040119;0600;16,1833;
040119;0700;21,025;
040119;0800;22,7833;
040119;0900;24,5;
040119;1000;26,7333;
040119;1100;28,775;
040119;1200;29,7583;
040119;1300;30,9167;
040119;1400;31,4666;
040119;1500;32,2;
040119;1600;32,1916;
040119;1700;30,55;
040119;1800;28,4083;
040119;1900;25,65;
040119;2000;22,3083;
040119;2100;20,5833;
040119;2200;19,425;
040119;2300;18,7;
040120;0000;18,0417;
040120;0100;17,45;
040120;0200;16,3083;
040120;0300;15,2333;
040120;0400;14,3;
040120;0500;13,2;
040120;0600;13,35;
040120;0700;16,0916;
040120;0800;18,9417;
040120;0900;21,2583;
040120;1000;23,6;
040120;1100;25,5916;
040120;1200;27,1833;
040120;1300;28,8833;
040120;1400;29,975;
040120;1500;30,8333;
040120;1600;30,4;
040120;1700;29,1917;
040120;1800;27,65;
040120;1900;25;
040120;2000;22,775;
040120;2100;21,75;
040120;2200;21,0833;
040120;2300;20,5916;
040121;0000;19,8666;
040121;0100;19,3333;
040121;0200;18,7166;
040121;0300;18,2833;
040121;0400;17,7166;
040121;0500;17,2833;
040121;0600;17,5;
040121;0700;21,05;
040121;0800;22,75;
040121;0900;24,5833;
040121;1000;26,275;
040121;1100;27,825;
040121;1200;29,1083;
040121;1300;29,8416;
040121;1400;30,2666;
040121;1500;30,275;
040121;1600;29,25;
040121;1700;27,6;
040121;1800;25,6583;
040121;1900;23,3416;
040121;2000;21,2416;
040121;2100;19,7583;
040121;2200;18,9583;
040121;2300;18,2583;
040122;0000;17,625;
040122;0100;17,425;
040122;0200;17,2666;
040122;0300;16,7666;
040122;0400;16,275;
040122;0500;15,9;
040122;0600;15,975;
040122;0700;18,0083;
040122;0800;20,1333;
040122;0900;22,05;
040122;1000;23,7166;
040122;1100;25,6333;
040122;1200;26,9417;
040122;1300;27,5916;
040122;1400;28,4916;
040122;1500;28,825;
040122;1600;28,8333;
040122;1700;27,9;
040122;1800;26,4666;
040122;1900;23,875;
040122;2000;21,8833;
040122;2100;20,5416;
040122;2200;19,7083;
040122;2300;19,1666;
040123;0000;18,4833;
040123;0100;17,6917;
040123;0200;17,0333;
040123;0300;16,5833;
040123;0400;16,1416;
040123;0500;15,3333;
040123;0600;15,6583;
040123;0700;17,85;
040123;0800;19,675;
040123;0900;21,3167;
040123;1000;23,4333;
040123;1100;25,0166;
040123;1200;26,55;
040123;1300;26,9333;
040123;1400;27,5636;
040123;1500;28,4166;
040123;1600;28,3083;
040123;1700;27,525;
040123;1800;26,0166;
040123;1900;23,6583;
040123;2000;21,5166;
040123;2100;20,5916;
040123;2200;20,0667;
040123;2300;19,45;
040124;0000;18,8;
040124;0100;18,2666;
040124;0200;17,725;
040124;0300;17,2416;
040124;0400;16,6083;
040124;0500;16,1833;
040124;0600;16,1416;
040124;0700;19,1666;
040124;0800;21,6833;
040124;0900;23,2833;
040124;1000;25,275;
040124;1100;26,9666;
040124;1200;28,8333;
040124;1300;29,375;
040124;1400;29,9;
040124;1500;29,9;
040124;1600;29,4666;
040124;1700;28,1667;
040124;1800;26,625;
040124;1900;24,2666;
040124;2000;22,1083;
