FECHA (YYMMDD);HORA (HHMM);;
040127;0500;74,5;
040127;0600;73,6664;
040127;0700;63,0833;
040127;0800;56,9166;
040127;0900;48,8333;
040127;1000;42,8333;
040127;1100;39,1666;
040127;1200;36,4166;
040127;1300;35,3333;
040127;1400;34,1666;
040127;1500;32;
040127;1600;28,8333;
040127;1700;30,9167;
040127;1800;31,75;
040127;1900;33,8333;
040127;2000;36,3333;
040127;2100;39,8333;
040127;2200;43,5833;
040127;2300;46,75;
040128;0000;52,3333;
040128;0100;57,1666;
040128;0200;59,6666;
040128;0300;63,25;
040128;0400;63,9166;
040128;0500;66,3333;
040128;0600;66,75;
040128;0700;53,4166;
040128;0800;45,25;
040128;0900;39,3333;
040128;1000;36,4166;
040128;1100;34;
040128;1200;32,5;
040128;1300;28,9167;
040128;1400;25,9167;
040128;1500;26,1667;
040128;1600;27,5;
040128;1700;31,25;
040128;1800;32,9166;
040128;1900;35,6666;
040128;2000;37,8333;
040128;2100;39,9166;
040128;2200;42,0833;
040128;2300;45,75;
040129;0000;51;
040129;0100;53,5833;
040129;0200;57,8333;
040129;0300;61,75;
040129;0400;64,6664;
040129;0500;66,25;
040129;0600;66,3333;
040129;0700;54;
040129;0800;49,25;
040129;0900;44,5;
040129;1000;38,0833;
040129;1100;34,25;
040129;1200;31,5;
040129;1300;27,5833;
040129;1400;24,25;
040129;1500;23,75;
040129;1600;30,5833;
040129;1700;35,9166;
040129;1800;38,1666;
040129;1900;38,5833;
040129;2000;42,5;
040129;2100;47,1666;
040129;2200;50,75;
040129;2300;54,3333;
040130;0000;56,5833;
040130;0100;59,6666;
040130;0200;62,3333;
040130;0300;66;
040130;0400;67,1664;
040130;0500;70,1664;
040130;0600;69,9167;
040130;0700;62,9166;
040130;0800;54,9166;
040130;0900;48,0833;
040130;1000;43,5;
040130;1100;39,1666;
040130;1200;37,8333;
040130;1300;36,1666;
040130;1400;34,0833;
040130;1500;33,75;
040130;1600;35,75;
040130;1700;38;
040130;1800;41;
040130;1900;46,75;
040130;2000;50,5;
040130;2100;52,3333;
040130;2200;54,4166;
040130;2300;56,6666;
040131;0000;59,6666;
040131;0100;62,75;
040131;0200;65,5833;
040131;0300;67,75;
040131;0400;69,6664;
040131;0500;72,5833;
040131;0600;73,6664;
040131;0700;59,3333;
040131;0800;54,3333;
040131;0900;46,75;
040131;1000;42,5833;
040131;1100;40,25;
040131;1200;37,6666;
040131;1300;36;
040131;1400;34,3333;
040131;1500;33,9166;
040131;1600;32,9166;
040131;1700;33,3333;
040131;1800;34,6666;
040131;1900;36,9166;
040131;2000;40,0833;
040131;2100;40,9166;
040131;2200;43,25;
040131;2300;47;
040201;0000;47,75;
040201;0100;55,4166;
040201;0200;59,1666;
040201;0300;62,4166;
040201;0400;64,5;
040201;0500;67,4164;
040201;0600;67,75;
040201;0700;53,8333;
040201;0800;39,8333;
040201;0900;36,5833;
040201;1000;33,4166;
040201;1100;30,25;
040201;1200;29;
040201;1300;28,6667;
040201;1400;27,1667;
040201;1500;28,9167;
040201;1600;31,5;
040201;1700;32,25;
040201;1800;36,3333;
040201;1900;43,6666;
040201;2000;47,5;
040201;2100;51,6666;
040201;2200;51,5833;
040201;2300;50,5833;
040202;0000;55,1666;
040202;0100;57,9166;
040202;0200;61,5833;
040202;0300;64,3333;
040202;0400;67,5;
040202;0500;73,8333;
040202;0600;76,75;
040202;0700;70,25;
040202;0800;59,1666;
040202;0900;52,0833;
040202;1000;42,0833;
040202;1100;34,0833;
040202;1200;31,75;
040202;1300;30,25;
040202;1400;31,0833;
040202;1500;28,75;
040202;1600;31,5;
040202;1700;35,5;
040202;1800;38,5833;
040202;1900;44,25;
040202;2000;49,8333;
040202;2100;52,25;
040202;2200;54;
040202;2300;59,5;
040203;0000;62,9166;
040203;0100;63,9166;
040203;0200;69,3333;
040203;0300;71,25;
040203;0400;72,0833;
040203;0500;75;
040203;0600;75,1664;
040203;0700;65,4164;
040203;0800;52,0833;
040203;0900;45,1666;
040203;1000;41,0833;
040203;1100;36,4166;
